cnpj;oscip;titulo;texto;fonte
02979479000185;"Câmara de Cultura, Comercio e Turismo Brasil";"Objetivo da OSCIP";"A Câmara de Cultura entende que ao integrar a produção cultural e o marketing cultural é possível contribuir para a cultura nacional, na exata medida em que o acesso à cultura fica mais próximo a todos os segmentos da população. Nosso compromisso está na forma integrada com que compreendemos as questões sociais, culturais e ambientais, porque estamos convencidos da relevância do ser humano em todas estas questões. Nosso trabalho, essencialmente no planejamento, desenvolvimento e implantação de Projetos, é realizado integrando a sociedade, as instituições e as empresas, de forma a conquistar resultados muito mais consistentes e permanentes.";http://camaradecultura.org/quem-somos/
02979479000185;"Câmara de Cultura, Comercio e Turismo Brasil";"Servicos Prestados";"Atividades Literárias e Humanísticas, Controle e Diminuição de Danos Ambientais,  Educação Ambiental, Mídia e Comunicações, Promoção do Voluntariado. Projetos estão concentrados em Educação, Cultura, Meio Ambiente e Desenvolvimento Humano.";"http://camaradecultura.org/quem-somos/;http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=812&Instituicao=Camara-de-Cultura%2C-Comercio-e-Turismo-Brasil-Paises-Africanos"
01315883000191;"Centro de Estudos de Música Coral";"Servicos Prestados";"Atividades Artísticas e de Espetáculos, Preservação Cultural e Histórica, Desenvolve projetos sociais de Educação e Pesquisa: Arte-Educação";http://cidadevoluntaria.com.br/default.asp?Pag=2&CodigoInstituicao=2268&Projeto-Social=CEMCO-CENTRO-DE-ESTUDOS-DE-MUSICA-CORAL
04906029000198;"Centro Preserv de Promoção do Desenvolvimento Sustentado";"Objetivo da OSCIP";"A Câmara de Cultura entende que ao integrar a produção cultural e o marketing cultural é possível contribuir para a cultura nacional, na exata medida em que o acesso à cultura fica mais próximo a todos os segmentos da população. Nosso compromisso está na forma integrada com que compreendemos as questões sociais, culturais e ambientais, porque estamos convencidos da relevância do ser humano em todas estas questões. Nosso trabalho, essencialmente no planejamento, desenvolvimento e implantação de Projetos, é realizado integrando a sociedade, as instituições e as empresas, de forma a conquistar resultados muito mais consistentes e permanentes.";http://www.preserv.org.br/objetivos.htm
04906029000198;"Centro Preserv de Promoção do Desenvolvimento Sustentado";"Servicos Prestados";"Aplicação Educacional de Tecnologia, Artes Plásticas e Visuais, Assistência para Moradia, Atividades Artísticas e de Espetáculos, Atividades Complementares à Escola, Atividades Literárias e Humanísticas, Financiadoras de Projetos, Mídia e Comunicações, Mobilização e Articulação pela Educação, Pesquisa em Ciências Sociais, Políticas e Humanas, Preservação Cultural e Histórica, Proteção e Conservação do Patrimônio Natural";http://www.ongsbrasil.com.br/default.asp?Pag=2&Destino=InstituicoesTemplate&CodigoInstituicao=992&Instituicao=CENTRO%20PRESERV%20DE%20PROMOCAO%20DO%20DESENVOLVIMENTO%20SUSTENTADO
06085782000195;"Cinema Nosso";Membros;"Comunicação: Mercia Britto, Luciana Rocha";http://www.cinemanosso.org.br/site/nossa-equipe/
06085782000195;"Cinema Nosso";"Objetivo da OSCIP";"Ampliar o universo cultural e contribuir para o desenvolvimento do senso crítico de crianças, adolescentes e jovens oriundos das classes populares por meio da linguagem audiovisual. O que propomos é a construção de um “Cinema Nosso” que reflita e respeite a diversidade, a pluralidade e a verdadeira cultura popular. Pretendemos ser um centro popular de referência em educação audiovisual para adolescentes e jovens alunos de escolas públicas e/ou oriundos das classes populares.";http://www.cinemanosso.org.br/site/nossa-historia/
06085782000195;"Cinema Nosso";"Público Alvo";"Estudantes da rede pública e/ou de classes populares, com oficinas e atividades de estímulo à reflexão e ao respeito à diversidade, à pluralidade e à cultura popular.";http://www.cinemanosso.org.br/site/nossa-historia/
06085782000195;"Cinema Nosso";"Servicos Prestados";"Oferecemos cursos livres, oficinas gratuitas e sessões de cinema, além de desenvolver a Produtora-Escola Cinema Nosso, com filmes autorais produzidos pelos próprios alunos.";https://www.facebook.com/pg/CinemaNosso/about/?ref=page_internal
05075576000131;"Fundação Cultural Aro";"Objetivo da OSCIP";"Difusão de iniciativas culturais através dos diversos meios de comunicação. Seu foco é voltado para a responsabilidade social e promoção da cultura e dos valores nacionais, divulgando e apoiando iniciativas que traduzam a participação social e cultural de empresas nas comunidades que atuam, trazendo em seu curriculum a edição, em 2007, do livro do sesquicentenário do Instituto Benjamin Constant (IBC), instituição referência na América Latina na área de Educação e assistência a cegos e pessoas com baixa visão. A FUNDAÇÃO ARO apóia atividades do IBC.";http://aro.org.br/quem-somos
